Serial No,Exercise Name,Muscle Group,Intensity Level,Suitable for BMI Case,Suitable for BFP Case,Reps,Sets,Duration (minutes),Rest (seconds),Gifs,instructions
134,Single-Leg Glute Bridge,Glutes,Medium,"Fitness, Obese, Acceptable, Athletes","Normal, Overweight, Severe Obese",12,4,25,75,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/single-glutes-bridge.gif,"1. Lie on your back with one knee bent and the other leg extended.
2.Press through your heel to lift your hips off the ground, keeping your extended leg in line with your torso.r.

3.Lower your hips back down and repeat on the other leg.
"
135,Barbell Curl,Biceps,Medium,"Fitness, Obese, Acceptable, Athletes","Severe Thinness, Mild Thinness, Normal",12,4,30,75,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Barbell-Curl.gif,"1. Stand with a barbell in your hands, arms fully extended and palms facing up.
2. Curl the barbell towards your shoulders, keeping your elbows close to your body.

3.Lower the barbell back down and repeat.
"
136,Swiss Ball Crunches,Core,Medium,"Fitness, Obese, Acceptable, Athletes","Normal, Overweight, Obese",15,3,25,60,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/swiss.gif,"1Sit on a Swiss ball, then walk your feet forward until your lower back is supported by the ball.

2.Perform a crunch by lifting your upper body off the ball while keeping your lower body stable

3.Lower yourself back down and repeat.
"
137,Chest Supported Row,Back,Medium,"Fitness, Obese, Acceptable, Athletes","Normal, Overweight, Obese",12,4,30,75,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/chest-supported.gif,"1Lie face down on an incline bench, holding a pair of dumbbells with arms fully extended.

2. Pull the dumbbells towards your chest, squeezing your shoulder blades together.

3Lower the dumbbells back down and repeat.
"
138,Standing Calf Raises,Calves,Medium,"Fitness, Acceptable, Obese, Athletes","Normal, Overweight, Severe Thinness,Mild Thinness,Severe Obese,Obese,Moderate Thinness",15,3,20,60,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Standing-Calf-Raise.gif,"1. Stand with your feet shoulder-width apart on a raised platform or step, with your heels hanging off the edge.

2Push through the balls of your feet to lift your heels as high as possible

3.Lower your heels back down and repeat.
"
139,Incline Dumbbell Flyes,Chest,Medium,"Fitness, Obese, Acceptable, Athletes","Normal, Overweight, Obese",12,4,30,75,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Incline-dumbbell-Fly.gif,"1. Lie on an incline bench with a dumbbell in each hand, arms extended above your chest.

2.Lower the dumbbells out to the sides, keeping a slight bend in your elbows.

3.Bring the dumbbells back together above your chest and repeat.
"
140,Jump Squats,Legs,High,"Fitness, Acceptable, Obese, Athletes","Normal, Overweight, Severe Thinness,Mild Thinness,Severe Obese,Obese,Moderate Thinness",12,3,30,75,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Jump-Squat.gif,"1.Stand with your feet shoulder-width apart, arms at your sides.

2. Lower your hips into a squat position, then explode upwards, jumping as high as possible.
3.Land softly and immediately lower into the next squat before jumping again.

"
141,Box Jumps,Legs,High,"Fitness, Acceptable, Obese, Athletes","Normal, Overweight, Severe Thinness,Mild Thinness,Severe Obese,Obese,Moderate Thinness",12,3,25,60,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/The-Box-Jump.gif,"1. Stand in front of a sturdy box or platform.

2. Jump onto the box, landing softly with both feet.

3.Step down and repeat.
"
142,TRX Rows,Back,Medium,"Fitness, Obese, Acceptable, Athletes","Normal, Overweight, Obese",12,4,30,75,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Ring-Inverted-Row.gif,"1. Hold the TRX handles with your body leaning back, arms extended and feet placed forward.

2. Pull yourself up towards the handles, keeping your body straight.

3. Lower yourself back down and repeat.
"
143,Standing Dumbbell Press,Shoulders,Medium,"Fitness, Obese, Acceptable, Athletes","Normal, Overweight, Obese",12,4,30,75,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Standing-Dumbbell-Overhead-Press.gif,"1. Stand with your feet shoulder-width apart, holding dumbbells at shoulder level.

2. Press the dumbbells overhead until your arms are fully extended.

3.Lower the dumbbells back to shoulder height and repeat.
"
144,Medicine Ball Slams,Full Body,High,"Fitness, Acceptable, Obese, Athletes","Normal, Overweight, Severe Thinness,Mild Thinness,Severe Obese,Obese,Moderate Thinness",0,0,20,0,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Medicine-ball-Overhead-Slam-exercise.gif,"1. Stand with feet shoulder-width apart, holding a medicine ball overhead.

2.Slam the ball down towards the ground with as much force as possible.

3.Pick up the ball and repeat.
"
145,Side Lunges,Legs,Medium,"Fitness, Obese, Acceptable, Athletes","Normal, Overweight, Severe Obese",15,3,30,75,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Side-Lunge-Stretch.gif,"1. Stand with feet together and hands in front of you.

2. Step out to the side with one leg, lowering your hips into a lunge position.

3. Push back up to standing and repeat on the other side.
"
146,Dumbbell Shoulder Press,Shoulders,Medium,"Fitness, Obese, Acceptable, Athletes","Normal, Overweight, Obese",12,4,30,75,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Dumbbell-Shoulder-Press.gif,"1.Sit on a bench with a dumbbell in each hand at shoulder height.

2. Press the dumbbells overhead by fully extending your arms.

3.Lower the dumbbells back down to shoulder height and repeat.
"
147,Vertical Leg Raises,Core,Medium,"Fitness, Obese, Acceptable, Athletes","Normal, Overweight, Obese",15,3,20,60,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Lying-Leg-Raise.gif,"1. Hang from a pull-up bar with your legs extended.

2. Raise your legs up towards your chest, keeping them straight.

3. Lower your legs back down and repeat.
"
148,Burpees,Full Body,High,"Fitness, Acceptable, Obese, Athletes","Normal, Overweight, Severe Thinness,Mild Thinness,Severe Obese,Obese,Moderate Thinness",0,0,20,0,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/burpees.gif,"1Stand with your feet shoulder-width apart.

2Drop into a squat, then kick your legs back into a push-up position.

3. Perform a push-up, jump back to a squat position, and jump up, reaching your arms overhead.
"
149,weighted plank,Core,Medium,"Fitness, Obese, Acceptable, Athletes","Normal, Overweight, Obese",15,3,25,60,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Weighted-Front-Plank.gif,"1.Get into Plank Position: Start in a forearm plank with your body in a straight line, elbows under shoulders, and feet together. Engage your core.

2.Add Weight: Place a weight plate on your upper back or wear a weight vest for added resistance

3.Hold and Breathe: Maintain the plank position for 20-60 seconds, focusing on breathing steadily and keeping your body stable.
"
150,Bicycle Crunches,Core,Medium,"Fitness, Obese, Acceptable, Athletes","Normal, Overweight, Obese",15,3,20,60,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Bicycle-Crunch.gif,"1. Lie flat on your back with your hands behind your head.

2.Bring your right elbow towards your left knee while extending your right leg.

3Switch sides, bringing your left elbow towards your right knee, and repeat.
"
